Drive,Limit,Frequency_MHz,PSD_dBm_per_RBW
High,Upper,1,-45
High,Upper,5,-35
High,Upper,8,-35
High,Upper,54,-35
High,Upper,60,-35
High,Upper,80,-45
High,Upper,100,-55
High,Upper,160,-55
High,Upper,200,-70
High,Upper,260,-70
High,Upper,300,-80
High,Upper,400,-80
High,Lower,5,-53
High,Lower,8,-50
High,Lower,54,-50
High,Lower,60,-53
High,Lower,80,-63
Medium,Upper,1,-48
Medium,Upper,5,-38
Medium,Upper,8,-38
Medium,Upper,54,-38
Medium,Upper,60,-38
Medium,Upper,80,-48
Medium,Upper,100,-58
Medium,Upper,160,-58
Medium,Upper,200,-73
Medium,Upper,260,-73
Medium,Upper,300,-83
Medium,Upper,400,-83
Medium,Lower,5,-56
Medium,Lower,8,-53
Medium,Lower,54,-53
Medium,Lower,60,-56
Medium,Lower,80,-66
Low,Upper,1,-51
Low,Upper,5,-41
Low,Upper,8,-41
Low,Upper,54,-41
Low,Upper,60,-41
Low,Upper,80,-51
Low,Upper,100,-61
Low,Upper,160,-61
Low,Upper,200,-76
Low,Upper,260,-76
Low,Upper,300,-86
Low,Upper,400,-86
Low,Lower,5,-59
Low,Lower,8,-56
Low,Lower,54,-56
Low,Lower,60,-59
Low,Lower,80,-69
